g_event_id,sid,time,r_dow,r_hod,a_er_cat,a_app_id,a_campaign_type_id,a_camp_id,a_group_id,r_source_id,c_id,r_site_id,r_site_iab_cats,r_country_id,r_region_code,r_platform,r_network_type,r_traffic_type,c_type,c_cta,c_text,c_size,s_gerry_type,s_caesar_id,response
-4,0,1568678873.855,1,0,0,1061,2,25697,27493,74,6392898,28224292,3,106,08,ANDROID,cellular,app,NATIVE,Pesan Sekarang,{product.description} - Kode Promo:  {product.custom_label_1},0,,,1
-4,0,1568678888.307,1,0,0,1061,2,6652,14760,69,6376678,5302488,24,106,04,ANDROID,cellular,app,NATIVE,Unduh sekarang,Kodo Promo: GRAB2W,0,,,1
-4,0,1568678892.174,1,0,0,1725,2,25611,26933,253,6390386,28582571,9,159,07,IOS,cellular,app,IMAGE,,,3200480,,,1
-4,0,1568678905.022,1,0,0,930,2,25555,26683,74,6359438,28121214,9,10,07,ANDROID,cellular,app,IMAGE,,,3200480,,,1
-4,0,1568678906.971,1,0,0,1061,2,25697,27493,69,6392896,28014499,"14,3",106,04,ANDROID,cellular,app,HTML,Pesan Sekarang,{product.description} - Kode Promo:  {product.custom_label_1},3000250,,,1
-4,0,1568678911.777,1,0,0,1060,2,25420,26165,69,6381854,5140352,"1,1",106,08,IOS,wifi,app,HTML,Pesan Sekarang,Cari menu lokal kini lebih mudah dengan GrabFood,3200480,2,,1
-4,0,1568936850.757,3,23,0,1061,2,25697,27281,69,6392059,27037534,"1,9,9",106,08,ANDROID,cellular,app,HTML,Pesan Sekarang, {product.description},3200480,,,1
-4,0,1568936870.998,3,23,0,1061,2,6652,14760,69,6376675,5140364,"1,1,24",106,07,ANDROID,cellular,app,HTML,Unduh sekarang,"Ini buatmu, diskon sampai 50RB!",3000250,,,1
-4,0,1568936874.408,3,23,0,1061,2,6652,14758,69,6376675,5302488,24,106,04,ANDROID,cellular,app,HTML,Unduh sekarang,"Ini buatmu, diskon sampai 50RB!",3000250,,,1
-4,0,1568936892.449,3,23,0,1061,2,25697,27493,69,6392896,5140364,"1,1,24",106,08,ANDROID,cellular,app,HTML,Pesan Sekarang,{product.description} - Kode Promo:  {product.custom_label_1},3000250,,,1
-4,0,1568936897.283,3,23,0,1061,2,25734,27495,74,6392923,315404,"1,9",202,00,ANDROID,wifi,app,IMAGE,,,3200050,,,1
-4,0,1568936919.92,3,23,0,1061,2,6652,14758,69,6376678,26813865,3,106,04,ANDROID,cellular,app,NATIVE,Unduh sekarang,Kodo Promo: GRAB2W,0,,,1
-4,0,1568936924.809,3,23,0,1061,2,25734,27495,69,6392916,564071,24,202,00,ANDROID,wifi,app,IMAGE,,,3200050,,,1
-4,0,1568936964.787,3,23,0,1061,2,25401,27497,69,6381957,27734524,3,106,04,ANDROID,cellular,app,NATIVE,Pesan Sekarang,Cara mudah mencari menulokal sekitar adalah dengan membuka aplikasi GrabFood,0,,,1
-4,0,1568936996.439,3,23,0,1061,2,25697,27493,69,6392894,27398144,"9,9",106,26,ANDROID,cellular,app,HTML,Pesan Sekarang,{product.description} - Kode Promo:  {product.custom_label_1},3200480,,,1
-4,0,1568937028.225,3,23,0,1061,2,25697,27493,69,6392894,27614436,"9,9",106,04,ANDROID,cellular,app,HTML,Pesan Sekarang,{product.description} - Kode Promo:  {product.custom_label_1},3200480,,,1
-4,0,1568937057.611,3,23,0,1883,2,6528,14476,253,6388341,28582482,9,10,07,ANDROID,wifi,app,IMAGE,,,4800320,0,,1
-4,0,1568937071.046,3,23,0,1061,2,25697,27493,69,6392896,5140364,"1,1,24",106,08,ANDROID,wifi,app,HTML,Pesan Sekarang,{product.description} - Kode Promo:  {product.custom_label_1},3000250,,,1
-4,0,1568937072.009,3,23,0,1061,2,25401,27497,69,6391328,5140364,"1,1,24",106,26,ANDROID,cellular,app,IMAGE,,,3000250,,,1
-4,0,1568937079.302,3,23,0,1061,2,25401,27497,69,6381855,5140364,"1,1,24",106,04,ANDROID,wifi,app,HTML,Pesan Sekarang,Cari menu lokal kini lebih mudah dengan GrabFood,3000250,,,1
-4,0,1568937080.623,3,23,0,535,2,25224,26826,253,6389683,28582431,9,49,29,ANDROID,wifi,app,IMAGE,,,3200480,,,1
-4,0,1568937091.218,3,23,0,2416,2,25664,27148,69,6390881,69644,"1,3",104,19,ANDROID,wifi,app,IMAGE,,,3200480,,,1
-4,0,1568937119.39,3,23,1,2268,2,6644,14737,253,6393118,27844410,9,32,,ANDROID,wifi,app,IMAGE,,,4800320,,,1
-4,0,1568937123.428,3,23,0,1061,2,6652,14760,69,6376675,26539460,3,106,04,ANDROID,cellular,app,HTML,Unduh sekarang,"Ini buatmu, diskon sampai 50RB!",3000250,,,1
-4,0,1568937132.516,3,23,0,1061,2,25697,27493,69,6392896,5140364,"1,1,24",106,04,ANDROID,cellular,app,HTML,Pesan Sekarang,{product.description} - Kode Promo:  {product.custom_label_1},3000250,,,1
-4,0,1568937135.803,3,23,0,1061,2,6652,14760,69,6376661,27459947,"7,9,9",106,04,ANDROID,wifi,app,HTML,Unduh sekarang,"Ini buatmu, diskon sampai 50RB!",3200480,,,1
-4,0,1568937188.728,3,23,1,2268,2,6644,14737,253,6392086,28582431,9,32,,ANDROID,wifi,app,VIDEO,,,3200480,,,1
-4,0,1568937191.342,3,23,0,1061,2,25401,27497,69,6381957,27734524,3,106,30,ANDROID,cellular,app,NATIVE,Pesan Sekarang,Cara mudah mencari menulokal sekitar adalah dengan membuka aplikasi GrabFood,0,,,1
-4,0,1568937200.948,3,23,0,2213,2,6639,14719,69,6372697,26773518,3,178,D9,ANDROID,wifi,app,HTML,Shop Now,LOWEST PRICES on Shopee's daily Flash Deals!,3200480,,,1
-4,0,1568937202.578,3,23,0,1061,2,6652,14760,69,6376678,25382542,3,106,26,ANDROID,cellular,app,NATIVE,Unduh sekarang,Kodo Promo: GRAB2W,0,,,1
-4,0,1568937204.706,3,23,0,1061,2,25697,27493,69,6392896,5140364,"1,1,24",106,04,ANDROID,wifi,app,HTML,Pesan Sekarang,{product.description} - Kode Promo:  {product.custom_label_1},3000250,,,1
-4,0,1568937211.739,3,23,0,1061,2,25401,27497,69,6381956,27734524,3,106,08,ANDROID,cellular,app,NATIVE,Pesan Sekarang,"Ada banyak pilihan menu siap saji, biar GrabFood yang mengantar sampai lokasi",0,,,1
-4,0,1568937213.515,3,23,1,2463,2,25696,27295,69,6392047,28080652,"1,1,9,9",178,D9,ANDROID,wifi,app,IMAGE,,,3200480,3,,1
-4,0,1568937268.44,3,23,0,535,2,25707,27336,99,6392549,28035118,,177,15,ANDROID,cellular,app,NATIVE,Usa Cabify,Disfruta de 3 viajes con 15% de descuento,0,,,1
-4,0,1568937284.707,3,23,0,1061,2,25722,27410,69,6392481,28050617,"1,9,9",178,D9,ANDROID,wifi,app,IMAGE,,,3200480,,,1
-4,0,1568937317.284,3,23,0,1882,2,6941,16061,253,6373898,28582490,9,177,,IOS,wifi,app,VIDEO,,,3200480,0,,1
-4,0,1568937317.686,3,23,0,2410,2,25254,27179,69,6390905,25373589,"1,9,9",67,11,ANDROID,cellular,app,HTML,اطلب الآن,{product.custom_label_2},3200480,,,1
-4,0,1568937317.904,3,23,0,1061,2,6652,14760,69,6376678,25690114,"14,24",106,04,ANDROID,wifi,app,NATIVE,Unduh sekarang,Kodo Promo: GRAB2W,0,,,1
-4,0,1568937336.968,3,23,0,1061,2,6652,14760,69,6376676,27614436,"9,9",106,08,ANDROID,cellular,app,HTML,Unduh sekarang,"Ini buatmu, diskon sampai 50RB!",3200480,,,1
-4,0,1568937349.792,3,23,0,1061,2,25697,27493,74,6392898,28224292,3,106,04,ANDROID,cellular,app,NATIVE,Pesan Sekarang,{product.description} - Kode Promo:  {product.custom_label_1},0,,,1
-4,0,1568937374.042,3,23,0,1061,2,25697,27493,69,6392894,408796,"24,9,9",106,30,ANDROID,wifi,app,HTML,Pesan Sekarang,{product.description} - Kode Promo:  {product.custom_label_1},3200480,,,1
-4,0,1568937407.783,3,23,1,2463,2,25696,27406,74,6393549,28182677,"1,9",178,F2,ANDROID,cellular,app,VIDEO,,,3200480,1,,1
-4,0,1568937424.467,3,23,0,1061,2,25697,27493,74,6392898,28224292,3,106,32,ANDROID,cellular,app,NATIVE,Pesan Sekarang,{product.description} - Kode Promo:  {product.custom_label_1},0,,,1
-4,0,1568937441.042,3,23,0,1061,2,25697,27281,69,6392061,5140364,"1,1,24",106,04,ANDROID,cellular,app,HTML,Pesan Sekarang, {product.description},3000250,,,1
-4,0,1568937453.2,3,23,0,2410,2,25254,27303,69,6390899,26813865,3,67,11,ANDROID,wifi,app,HTML,	 اطلب الآن,استمتع بالأكل من   {product.title},3200480,,,1
-4,0,1568937461.478,3,23,0,1061,2,25697,27281,69,6392059,28236284,"1,1,9,9",106,26,ANDROID,cellular,app,HTML,Pesan Sekarang, {product.description},3200480,,,1
